section,indice,categorie,phase,Pos.,Club,Points
Entente Lyon Est Handball,A,Seniors,P1,10,HANDBALL CLERMONT AUVERGNE METROPOLE 63,1
Entente Lyon Est Handball,A,Seniors,P1,11,BLANZAT SPORT MONTLUCON,1
Entente Lyon Est Handball,A,Seniors,P1,12,ST LAURENT DE CHAMOUSSET HBC,1
Entente Lyon Est Handball,B,Seniors,P1,1,P16F PNF - PORTE DE L'ISERE,6
Entente Lyon Est Handball,B,Seniors,P1,2,BELLEY HBC,6
Entente Lyon Est Handball,B,Seniors,P1,3,P16F PNF - ENTENTE BRON VILLEURBANNE,4
Entente Lyon Est Handball,B,Seniors,P1,4,HANDBALL CLUB BOURGETAIN,3
Entente Lyon Est Handball,B,Seniors,P1,5,CS MORESTEL HANDBALL,2
Entente Lyon Est Handball,B,Seniors,P1,6,P16F PNF - ENTENTE MEXIMIEUX MONTLUEL,1
Entente Lyon Est Handball,B,Seniors,P1,7,SAINT GENIX - AOSTE HB,1
Entente Lyon Est Handball,B,Seniors,P1,8,P16F PNF - ENTENTE LYON EST HANDBALL,1
Entente Est Lyonnais,Rés.,M15,P1,1,M15M EXC - ENTENTE EST LYONNAIS (RESERVE),3
Entente Est Lyonnais,Rés.,M15,P1,2,ST GENIS LAVAL AL HANDBALL -15 RESERVE,3
Entente Est Lyonnais,Rés.,M15,P1,3,VILLEURBANNE HANDBALL ASSOCIATION,3
Entente Est Lyonnais,Rés.,M15,P1,4,M15M EXC - ENTENTE NORD ISERE (RESERVE),2
Entente Est Lyonnais,Rés.,M15,P1,5,UODL HANDBALL,1
Entente Est Lyonnais,,M17,P1,1,M17M EXC - LYON METROPOLE,3
Entente Est Lyonnais,,M17,P1,2,M17M EXC - ENTENTE EST LYONNAIS,3
Entente Est Lyonnais,,M17,P1,3,ST GENIS LAVAL AL HANDBALL -17 m aura,3
Entente Est Lyonnais,,M17,P1,4,M17M EXC - ENTENTE NORD ISERE,2
Entente Est Lyonnais,,M17,P1,5,UODL HANDBALL,1
Entente Lyon Est Handball,A,M13,P1,1,M13F EXC - ENTENTE LYON EST HANDBALL - 1,3
Entente Lyon Est Handball,A,M13,P1,2,VILLEURBANNE HANDBALL ASSOCIATION,3
Entente Lyon Est Handball,A,M13,P1,3,ASUL VAULX-EN-VELIN,3
Entente Lyon Est Handball,A,M13,P1,4,CALUIRE-RILLIEUX HANDBALL,2
Entente Lyon Est Handball,A,M13,P1,5,HBC ST LAURENT DE CHAMOUSSET,1
Entente Villette Genas,A,M13,P1,1,M13M CHAPONNAY,4
Entente Villette Genas,A,M13,P1,2,M13M EXC - ENTENTE BOURGOIN/VILLEFONTAINE,3
Entente Villette Genas,A,M13,P1,3,M13M EXC - ENTENTE GENAS - VILLETTE,3
Entente Villette Genas,A,M13,P1,4,-13G1 US MEYZIEU HANDBALL,2
Entente Villette Genas,A,M13,P1,5,M13M EXC - ENTENTE CORBAS - ST PRIEST,0
Entente Lyon Est Handball,A,M15,P1,1,M15F EXC - ENTENTE BRON VILLEURBANNE,5
Entente Lyon Est Handball,A,M15,P1,2,PAYS VOIRONNAIS HANDBALL 1,3
Entente Lyon Est Handball,A,M15,P1,3,M15F EXC - ENTENTE LYON EST HANDBALL,3
Entente Lyon Est Handball,A,M15,P1,4,HBC ECHIROLLES-EYBENS,3
Entente Lyon Est Handball,A,M15,P1,5,M15F EXC - PORTE DE L'ISERE,3
Entente Lyon Est Handball,A,M15,P1,6,MEYLAN HANDBALL 1,3
Entente Est Lyonnais,B,M15,P1,1,M15M EXC - ENTENTE EST LYONNAIS,4
Entente Est Lyonnais,B,M15,P1,2,SAINT GENIX AOSTE HB 1,3
Entente Est Lyonnais,B,M15,P1,3,MERMOZ G15A,3
Entente Est Lyonnais,B,M15,P1,4,HANDBALL CLUB DE LYON,3
Entente Est Lyonnais,B,M15,P1,5,BELLEY HBC,2
Entente Est Lyonnais,B,M15,P1,6,M15M CHAPONNAY,1
Entente Villette Genas,C,M15,P1,1,AS GENAY HANDBALL,3
Entente Villette Genas,C,M15,P1,2,M15M EXC - ENTENTE GENAS - VILLETTE,3
Entente Villette Genas,C,M15,P1,3,M15M EXC - ENTENTE BEAUJOLAISE 2,1
Entente Villette Genas,C,M15,P1,4,M15M EXC - MIONS HEYRIEUX,1
Entente Villette Genas,C,M15,P1,5,HB GLEIZE ST JULIEN DENICE U15M A,0
Entente Villette Genas,D,M18,P1,1,VAULX EN VELIN HANDBALL CLUB,3
Entente Villette Genas,D,M18,P1,2,AS GENAY HANDBALL,3
Entente Villette Genas,D,M18,P1,3,M18M EXC - ENTENTE GENAS-VILLETTE B,1
Entente Villette Genas,D,M18,P1,4,COTIERE HANDBALL,1
Entente Villette Genas,D,M18,P1,5,HANDBALL BOURG,0
Entente Est Lyonnais,A,M18,P1,1,ENT. EST-LYONNAIS - SAINT-PRIEST,6
Entente Est Lyonnais,A,M18,P1,2,US CRAUROISE HANDBALL,4
Entente Est Lyonnais,A,M18,P1,3,SAINT RAPHAEL VHB,3
Entente Est Lyonnais,A,M18,P1,4,UODL HANDBALL,2
Entente Est Lyonnais,A,M18,P1,5,ISTRES PROVENCE HANDBALL,4
Entente Est Lyonnais,A,M18,P1,6,MONTELIMAR CLUB HANDBALL,1
Entente Villette Genas,C,M18,P1,1,PAYS VOIRONNAIS HANDBALL 1,4
Entente Villette Genas,C,M18,P1,2,M18M EXC - ENTENTE GENAS - VILLETTE,3
Entente Villette Genas,C,M18,P1,3,M18M EXC - ENTENTE CORBAS - ST PRIEST - CHAPONNAY,3
Entente Villette Genas,C,M18,P1,4,CS BOURGOIN JALLIEU HB,2
Entente Villette Genas,C,M18,P1,5,HANDBALL CLUB DE LYON,0
Entente Est Lyonnais,B,M18,P1,1,ENTENTE EST-LYONNAIS - SAINT-PRIEST (U18),6
Entente Est Lyonnais,B,M18,P1,2,M18M EXC - ENTENTE NORD BEAUJOLAIS 1,4
Entente Est Lyonnais,B,M18,P1,3,M18M EXC - ENTENTE LIMAS/VHB,4
Entente Est Lyonnais,B,M18,P1,4,ROANNE RIORGES HANDBALL 1,6
Entente Est Lyonnais,B,M18,P1,5,Trévoux - U18 Excellence,2
Entente Est Lyonnais,B,M18,P1,6,CIVRIEUX HANDBALL CLUB,2
