section,indice,categorie,phase,Pos.,Club,Points
Entente Est Lyonnais,CF,M18,P1,1,U.S. CRAUROISE HANDBALL,0
Entente Est Lyonnais,CF,M18,P1,2,UODL HANDBALL,0
Entente Est Lyonnais,CF,M18,P1,3,ISTRES PROVENCE HANDBALL,0
Entente Est Lyonnais,CF,M18,P1,4,ST PRIEST HANDBALL,0
Entente Est Lyonnais,CF,M18,P1,5,ESTEREL ST RAPHAEL VAR HB (U18M ELITE),0
Entente Est Lyonnais,CF,M18,P1,6,MONTELIMAR CLUB HANDBALL,0
Entente Lyon Est Handball,,M16,P1,1,M16F EXC - ENTENTE POISY - ANNECY,3
Entente Lyon Est Handball,,M16,P1,2,ANNECY CSAV HANDBALL,3
Entente Lyon Est Handball,,M16,P1,3,CHAMBÉRY LA MOTTE SERVOLEX SAVOIE HANDBALL,1
Entente Lyon Est Handball,,M16,P1,4,M16F EXC - ENTENTE LYON EST HANDBALL,1
Entente Lyon Est Handball,,M16,P1,5,M16F EXC - LYON OUEST HANDBALL,0
Entente Lyon Est Handball,,M16,P1,6,M16F EXC - ENTENTE MEXIMIEUX MONTLUEL,0
Entente Lyon Est Handball,A,M18,P1,1,Porte de l'isère,3
Entente Lyon Est Handball,A,M18,P1,2,M18F EXC - ENTENTE BRON VAULX EN VELIN VILLEURBANNE,3
Entente Lyon Est Handball,A,M18,P1,3,M18F EXC - ENTENTE LYON EST HANDBALL - 1,1
Entente Lyon Est Handball,A,M18,P1,4,MERMOZ F18,1
Entente Lyon Est Handball,A,M18,P1,5,UODL HB,0
Entente Lyon Est Handball,A,M18,P1,6,IDA U18F,0
Entente Lyon Est Handball,A,Seniors,P1,1,CALUIRE RILLIEUX HANDBALL,3
Entente Lyon Est Handball,A,Seniors,P1,2,AMBERIEU HBC,3
Entente Lyon Est Handball,A,Seniors,P1,3,HANDBALL CLUB DE LYON,3
Entente Lyon Est Handball,A,Seniors,P1,4,P16F N3 - ENTENTE LYON EST HANDBALL,2
Entente Lyon Est Handball,A,Seniors,P1,5,ASUL VAULX-EN-VELIN,2
Entente Lyon Est Handball,A,Seniors,P1,6,HANDBALL CLERMONT AUVERGNE METROPOLE 63,1
Entente Lyon Est Handball,A,Seniors,P1,7,BLANZAT SPORT MONTLUCON,1
Entente Lyon Est Handball,A,Seniors,P1,8,ST LAURENT DE CHAMOUSSET HBC,1
Entente Lyon Est Handball,A,Seniors,P1,9,ST GENIS LAVAL AL HANDBALL 2,3
