section,indice,categorie,phase,Pos.,Club,Points
Entente Est Lyonnais,CF,M18,P1,1,U.S. CRAUROISE HANDBALL,0
Entente Est Lyonnais,CF,M18,P1,2,UODL HANDBALL,0
Entente Est Lyonnais,CF,M18,P1,3,ISTRES PROVENCE HANDBALL,0
Entente Est Lyonnais,CF,M18,P1,4,ST PRIEST HANDBALL,0
Entente Est Lyonnais,CF,M18,P1,5,ESTEREL ST RAPHAEL VAR HB (U18M ELITE),0
Entente Est Lyonnais,CF,M18,P1,6,MONTELIMAR CLUB HANDBALL,0
Entente Lyon Est Handball,,M16,P1,1,M16F EXC - ENTENTE POISY - ANNECY,6
Entente Lyon Est Handball,,M16,P1,2,ANNECY CSAV HANDBALL,6
Entente Lyon Est Handball,,M16,P1,3,CHAMBÉRY LA MOTTE SERVOLEX SAVOIE HANDBALL,4
Entente Lyon Est Handball,,M16,P1,4,M16F EXC - ENTENTE MEXIMIEUX MONTLUEL,4
Entente Lyon Est Handball,,M16,P1,5,M16F EXC - LYON OUEST HANDBALL,2
Entente Lyon Est Handball,,M16,P1,6,M16F EXC - ENTENTE LYON EST HANDBALL,2
Entente Lyon Est Handball,A,M18,P1,1,M18F EXC - ENTENTE BRON VAULX EN VELIN VILLEURBANNE,6
Entente Lyon Est Handball,A,M18,P1,2,ISLE D'ABEAU SPORTS HANDBALL U18F,6
Entente Lyon Est Handball,A,M18,P1,3,M18F EXC - BOURGOIN JALLIEU VILLEFONTAINE,4
Entente Lyon Est Handball,A,M18,P1,4,UODL HB,4
Entente Lyon Est Handball,A,M18,P1,5,M18F EXC - ENTENTE LYON EST HANDBALL - 1,2
Entente Lyon Est Handball,A,M18,P1,6,MERMOZ F18,2
Entente Lyon Est Handball,A,Seniors,P1,1,CALUIRE RILLIEUX HANDBALL,6
Entente Lyon Est Handball,A,Seniors,P1,2,AMBERIEU HBC,6
Entente Lyon Est Handball,A,Seniors,P1,3,P16F N3 - ENTENTE LYON EST HANDBALL,5
Entente Lyon Est Handball,A,Seniors,P1,4,ASUL VAULX-EN-VELIN,5
Entente Lyon Est Handball,A,Seniors,P1,5,SAINT-FLOUR HANDBALL,5
Entente Lyon Est Handball,A,Seniors,P1,6,HANDBALL CLERMONT AUVERGNE METROPOLE 63,4
Entente Lyon Est Handball,A,Seniors,P1,7,HANDBALL CLUB DE LYON,4
Entente Lyon Est Handball,A,Seniors,P1,8,ST GENIS LAVAL AL HANDBALL 2,4
